workers,threads,mpitime,seqtime,speedup
2,2,18.785798,33.621995,1.7897560167526554
3,2,19.378619,33.621995,1.7350046977031748
4,2,14.745043,33.621995,2.280223597855903
2,4,18.919526,33.621995,1.7771055680781853
3,4,19.621365,33.621995,1.7135400620700953
4,4,14.824058,33.621995,2.2680695798680763
2,6,18.865372,33.621995,1.7822068390700165
3,6,19.648362,33.621995,1.7111856448898897
4,6,14.849706,33.621995,2.264152233047577
2,8,18.844011,33.621995,1.7842270947517491
3,8,19.587201,33.621995,1.7165288189976708s
4,8,14.810717,33.621995,2.270112581315273
