workers,procs,mpitime,seqtime,speedup
2,2,6.100723,11.375541,1.8646217833525631
3,2,6.97349,11.375541,1.6312550817452953
4,2,5.271653,11.375541,2.1578698370321416
5,2,9.277809,11.375541,1.2261020894049448
6,2,7.15452,11.375541,1.5899796212743833
7,2,6.640759,11.375541,1.712988078621736
8,2,5.467414,11.375541,2.080607212111613
2,4,6.177589,11.375541,1.8414208196757667
3,4,6.981451,11.375541,1.6293949495599125
4,4,5.308525,11.375541,2.14288168559063
5,4,9.269381,11.375541,1.227216898302055
6,4,7.169948,11.375541,1.5865583683452098
7,4,6.668397,11.375541,1.70588838666924
8,4,5.468284,11.375541,2.0802761890201755
2,6,6.104095,11.375541,1.8635917363671437
3,6,6.992903,11.375541,1.6267265540505853
4,6,5.313846,11.375541,2.140735918955875
5,6,9.333713,11.375541,1.2187583869356173
6,6,7.121934,11.375541,1.5972544817180276
7,6,6.667999,11.375541,1.7059902078569598
8,6,5.494418,11.375541,2.0703814307539035
