workers,threads,mpitime,seqtime,speedup
2,2,0.935918,1.679648,1.7946529503653097
2,2,0.945939,1.687337,1.7837693551064076
3,2,0.98051,1.687337,1.7208768905977503
4,2,0.739469,1.687337,2.2818224969538954
2,4,0.945,1.687337,1.7855417989417992
3,4,0.973223,1.687337,1.7337619435627807
4,4,0.744929,1.687337,2.2650977475705742
2,6,0.940937,1.687337,1.7932518330132623
3,6,0.96894,1.687337,1.7414256816727558
4,6,0.744349,1.687337,2.266862721653418
2,8,0.94039,1.687337,1.794294920192686
3,8,0.980824,1.687337,1.720325970816375
4,8,0.738849,1.687337,2.283737272433204
